realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
368.8514986056758,Apartment,2,0,10.0,97.0,1
602.0200126543716,Apartment,4,0,9.0,96.0,2
280.03655707355944,Private,2,0,10.0,96.0,1
447.5898108874465,Private,2,1,9.0,93.0,0
362.5243127973192,Private,4,0,9.0,96.0,1
191.6902959716917,Private,2,0,9.0,94.0,1
626.625735242425,Private,2,0,10.0,100.0,1
409.39235582218265,Private,2,0,9.0,100.0,1
271.600309329084,Private,2,0,10.0,100.0,1
345.417477093244,Private,2,0,10.0,98.0,1
387.1300353853725,Apartment,2,0,9.0,95.0,0
737.2343167811028,Private,4,0,10.0,100.0,2
765.5894828111453,Apartment,4,0,9.0,95.0,3
307.22002202798024,Private,2,0,10.0,99.0,1
1179.6686429358142,Apartment,4,0,10.0,100.0,2
657.3243034237106,Private,4,1,9.0,73.0,2
620.7672298643171,Private,4,1,10.0,95.0,2
618.1894874979496,Private,4,1,10.0,93.0,2
409.39235582218265,Apartment,2,0,9.0,94.0,2
507.5809059592717,Private,3,0,9.0,97.0,2
392.0511799029832,Apartment,2,0,9.0,90.0,1
737.2343167811028,Apartment,4,0,8.0,88.0,1
501.2537201509151,Private,2,0,10.0,96.0,0
700.442903006585,Apartment,4,0,9.0,93.0,2
399.5500667869613,Private,2,0,9.0,88.0,0
300.8928362196237,Private,2,0,9.0,89.0,1
722.7052234433952,Apartment,4,0,8.0,76.0,3
306.04832095235867,Private,2,0,9.0,81.0,1
678.4149227848992,Apartment,4,0,10.0,97.0,2
418.0629437817825,Apartment,2,0,10.0,94.0,0
482.9751833712184,Apartment,2,0,9.0,93.0,1
1542.4272959482578,Apartment,4,0,10.0,100.0,2
968.29376889368,Apartment,6,1,9.0,97.0,2
767.9328849623885,Apartment,4,0,9.0,90.0,1
272.53767018958126,Private,2,0,10.0,99.0,1
624.2823330911818,Apartment,4,0,9.0,87.0,2
1179.6686429358142,Apartment,4,0,10.0,97.0,3
602.254352869496,Apartment,3,0,9.0,96.0,2
358.7748693553301,Private,2,0,9.0,95.0,1
943.6880463056266,Apartment,4,0,10.0,92.0,1
313.3128676212125,Private,4,0,10.0,94.0,1
452.2766151899328,Private,2,0,10.0,99.0,1
